State;County;TxMalad;DecesTx;MedAge;naissance;assurPub;PctAfro
Texas;Tom;443;159,3;33,8;5,508398049;15,3;1,68099829121152
Michigan;Lenawee;425,8;177,6;40,9;4,630064868;17,5;1,29336804358173
Texas;Cass;374,4;179;43,25;3,991528185;21,5;2,9055047762073
Ohio;Defiance;446,9;188,6;39,5;6,066465257;14,7;1,05421263772429
Pennsylvania;Schuylkill;485,5;186,6;43,8;4,779878415;16,6;1,32468495207527
West Virginia;Hancock;495;184,1;46;5,693029274;17,1;1,17505976554528
Wisconsin;Kenosha;470,4;188,1;37,35;4,702469467;18,6;2,12598560692326
Tennessee;Lawrence;438,8;187,3;40,05;7,666385847;20,7;1,06528710741081
Maryland;Cecil;484,3;195,5;40;4,297102051;17,5;2,04879323874039
North Dakota;Oliver;338,6;137,6;47,7;15,4340836;7,8;0,285067332246101
Texas;Donley;386,3;202,7;43;0,284090909;21,7;1,89578129659241
Illinois;Woodford;469,4;163,5;39,9;6,403882576;12,6;0,459341197640249
Georgia;Paulding;495,4;173,2;34,95;4,002336389;12,9;2,92026130209244
Virginia;Clarke;417,9;197,4;45,45;6,678141136;9,9;1,86916808025157
Illinois;Fulton;506,5;193,1;42,25;5,418650238;18,9;1,51544998658659
Illinois;Richland;505,5;179,3;42,75;4,929577465;19,9;0,360505880222828
Iowa;Mills;486;194,9;42,25;3,293509848;12,8;0,542299253884033
Illinois;Douglas;475,1;177,5;38,5;6,28798504;15,8;0,394884429627668
Georgia;Forsyth;480,8;129,9;37,85;5,246691229;8,1;1,3624331819929
Arkansas;Mississippi;403,3;236,4;35,55;7,372578522;30;3,57360058014459
Florida;Hamilton;336,8;188,4;40,85;7,14920071;28,4;3,55806356915884
Kentucky;Elliott;343,2;163,8;42,7;7,352941176;34,7;1,23738880131902
Texas;Refugio;522,1;217,1;42;8,271186441;19,9;1,96608262363583
Kentucky;Monroe;511,5;227,9;42,25;3,581020591;30,3;1,27084545473185
Oklahoma;Major;478,7;182,3;41,45;5,897114178;16,3;0,310154928570506
Kentucky;Todd;453,4;183,7;37,15;6,25698324;24,4;2,24662460111194
Indiana;Dearborn;439,8;193,8;41,65;3,263424336;12,5;0,583941307650222
Michigan;Montcalm;475,3;184,5;40,1;5,831775701;20,5;1,13646626152647
Georgia;Crawford;468,9;197,9;43,55;2,190865206;23,4;3,1754019133724
West Virginia;Jackson;475,8;194,2;42,65;4,735242361;21,3;0,508690449903779
Arkansas;Howard;434,6;220,6;38,75;5,693717277;26,7;3,12676377148148
Georgia;Montgomery;437;163,1;39,1;6,796116505;22,6;3,31113212085804
Virginia;Washington;420,8;176,7;44,65;5,091597145;17,7;0,91234937492116
Mississippi;Marion;462,7;205,5;38,9;7,310838446;27,1;3,50541856062235
Georgia;Muscogee;504,8;190;33,5;6,992367626;19,3;3,82357873368043
New York;Rensselaer;536,3;188,4;39,6;4,18906927;15,9;1,96186369128402
Minnesota;Le;453,5494221;166,9;41,25;7,140456989;14,3;0,464933411135831
Illinois;Iroquois;485,8;185;44,1;6,404437721;20,9;0,85702563026618
Connecticut;New;490,4;162,6;40,6;4,578351666;17,5;1,88965307879913
Kansas;Haskell;453,5494221;122,6;35,55;5,965292842;17,8;0
Pennsylvania;Adams;470,7;165,3;42,85;4,47016211;11,4;0,935558160683053
Arkansas;Desha;455,6;186,9;39,4;5,621925509;32,7;3,89298683438132
Alabama;Monroe;444,1;187;40,55;6,012145749;26,7;3,76650980362064
Colorado;Fremont;454,3;166,2;44,75;5,417177079;27,1;1,83036661774674
Florida;Brevard;464,8;181,2;46,5;4,967904974;18,3;2,42310883437192
Washington;Yakima;411;169,4;32,6;6,560611666;22,4;0,611252238809479
Pennsylvania;Montour;490,8;152,6;43,45;3,59080341;13,7;0,98594903988244
Rhode Island;Providence;473,3;173,6;37,05;4,931882987;21,3;2,36125698057127
Indiana;Vanderburgh;431,1;182,7;37,9;4,541089313;17,6;2,30822537137626
Alabama;Fayette;474,6;205,8;43,7;5,73089701;21,1;2,59432497264903
Mississippi;DeSoto;428,8;193,9;35,9;4,636235598;12,5;3,21338845636246
Wisconsin;Juneau;434,3;174;44,4;4,951690821;21,4;1,20827395091889
Virginia;Fauquier;369,4;162,9;41,5;5,083533771;9,3;2,12942001108248
Texas;Burleson;389,4;183,2;42,1;3,641536273;15,8;2,58426264785737
Oklahoma;Jackson;448,8;209,2;34,8;6,363038474;18,3;2,15164795266334
Ohio;Logan;460,6;205,6;40,75;6,601566473;17,1;1,08631288144086
Ohio;Licking;478,5;188,8;39,65;5,540748334;17,5;1,47639570825168
Louisiana;St.;494,5;177,7;39,85;5,430602081;18,1;2,54534402113298
North Dakota;Dunn;355,6;127,1;42,05;4,710632571;14,4;0,091075415835162
Virginia;Henrico;444,7;169,1;37,85;5,200247219;12;3,41957703721016
Oklahoma;Rogers;445,5;174,5;38,75;5,259595862;13;0,734923983265754
Mississippi;Harrison;497,4;206,7;35,5;5,1314986;20,2;3,18937613174768
Wisconsin;Lincoln;498,7;184,4;46,2;3,410283316;15,5;0,418507498498808
Wisconsin;Burnett;399,2;190,1;51;4,96054115;23,7;0,393789016412676
Texas;Lamb;373,6;183,6;35,8;6,74955595;26,4;1,92222073393333
Wisconsin;Washburn;472,2;209,5;49,25;5,452638937;22,4;0,42855112805521
Georgia;Ware;405,3;180,1;38;7,919234299;25,3;3,42163943911981
South Dakota;Custer;364,5;158,7;52,4;4,363636364;14;0,242165671741193
Kansas;Brown;453,5494221;184,2;42,45;7,974481659;18,8;1,01196889705446
Georgia;Butts;508,7;240,6;38,5;6,070755704;18,9;3,36911795304944
Kansas;Nemaha;453,5494221;147,7;41,65;5,55836281;11,6;0,634412567052049
Arkansas;Nevada;407,9;210,7;41,8;5,091311566;29,8;3,45830545967972
Oklahoma;Atoka;442;151,7;41;5,756929638;25,4;1,62762334120074
Washington;Chelan;451,5;154,7;39,45;4,217134885;16,8;0,376933690726011
Georgia;Bleckley;393,3;162,6;37,35;3,671437461;19,3;3,30395165152157
Illinois;Edwards;517,6;189,9;43,25;9,853733641;20;0,442423429366404
Mississippi;Benton;355,2;208,7;39,85;0,41322314;18,3;3,62006577041118
Illinois;Saline;500,1;192,1;42,55;6,192236599;30,4;1,54242312724383
Illinois;Randolph;472,5;178,5;42,35;3,100031959;18;2,42477409079505
Oklahoma;Latimer;374,7;191,7;39,5;7,799915218;20;0,87996021347337
Maine;Cumberland;479,6;173,3;41,8;3,772833827;14,6;1,29719903576291
Texas;Franklin;413,3;156,3;43,75;4,741980474;26,9;1,80122797725757
Georgia;Burke;470,4;203,3;35,8;5,410413193;27,8;3,92811143204417
Arkansas;Sevier;388,4;179,5;34,75;5,671792286;25,8;1,76990238176309
Virginia;Goochland;486,9;153,4;47,25;2,75862069;11,1;2,93450854149435
Michigan;Huron;448,5;181,6;47,9;5,169018707;17,8;0,333902908007231
Colorado;Jefferson;436,7;141,7;40,45;4,465658687;12,2;0,736683215458408
Tennessee;McMinn;447,5;195,9;42,65;4,451140766;21,5;1,61920229728751
Kansas;Leavenworth;453,5494221;166,5;37,5;5,174510519;10,6;2,24734203940938
Alabama;Russell;494,1;212,3;34,7;6,285355123;20,2;3,75817038417702
Kentucky;Hart;519,5;243,5;41;8,986232791;24,8;1,7416765115611
Louisiana;Evangeline;459,2;211,4;36,05;8,601712189;31,2;3,36248068749663
Virginia;Accomack;479,4;216,2;45;4,349749336;18,4;3,39033279722652
Idaho;Franklin;360;136,3;32,45;9,856115108;14,3;0,0745835328425243
Wisconsin;Waukesha;474,7;155,3;42,7;4,334726295;9,8;0,885026058232989
Idaho;Gooding;460,6;151,5;36,25;6,793917826;22,4;0,0697234741318303
Pennsylvania;Cambria;488,3;168,5;44,45;4,763561711;17,6;1,48324128754156
Alabama;Autauga;475;178,3;37,55;5,87213091;14,3;2,9795768689278
Kentucky;Lee;528,6;275,9;42,5;2,731512325;37,1;0,663277190689553
Alabama;Clay;477,4;190,8;44,15;5,245114844;21,6;2,74090436185547
Arizona;Pinal;330,9;133,5;37,7;5,719536436;22,8;1,7238878701302
Virginia;Giles;403,8;189,4;43,55;8,255410099;13,3;0,938274781666661
South Dakota;Dewey;555,7;229,8;29,1;6,625097428;32,9;0,0352211080780638
Colorado;Elbert;410,8;148,3;45,15;3,311386522;10,8;0,424084784359587
California;San;447;140;39,5;5,015576324;13,2;1,27989428808726
West Virginia;Calhoun;459,9;226,5;47,05;4,780114723;25,2;0,0885870391484344
Texas;Rains;428,5;175,1;47,25;7,18503937;21,2;1,20524951009019
Louisiana;St.;497,4;201,2;38,45;4,363776791;19;3,93796532968155
Texas;Dawson;437,5;165,4;34;8,016032064;18,4;1,91536197634675
Ohio;Morgan;438,4;187,9;44;5,657937278;24;1,51304486942498
Iowa;Dickinson;528,4;156,1;48,4;7,152406417;14,8;0,267334415088695
Kansas;Logan;453,5494221;129,1;43,15;7,558139535;10,7;0
Arkansas;Scott;410;207,4;41,5;3,421727973;24,7;0,153230292972621
Texas;Stonewall;355,4;172,6;48,85;11,51832461;23;1,62960101494736
Minnesota;Anoka;453,5494221;167,9;37,95;6,191392604;12,9;1,77518067247144
Minnesota;Otter;453,5494221;156,9;46,7;7,511606314;16,7;0,80013996404354
Wisconsin;Chippewa;482,4;160,1;40,55;5,497771174;15,7;0,858230886031138
Oklahoma;Garfield;449,4;184,6;36,1;7,18973747;18,7;1,43923201279815
Illinois;DuPage;461,9;152,7;38,8;4,783276672;11,7;1,74175953931204
Ohio;Medina;460,9;167,4;41,3;4,599000327;11,2;0,885279027048627
Michigan;Presque;414,7;171,8;53,15;3,178368121;16,4;0,378592985109586
Texas;Gaines;331,1;164,8;29;6,114037096;18,6;1,04556269604923
Illinois;Jasper;494,2;174,1;42,9;6,095143707;16,3;0,294534513508424
Colorado;Gunnison;283,5;102,6;34,45;6,455696203;13,4;0,53976825135655
Michigan;Schoolcraft;439,1;213,7;49,85;4,633204633;24,8;0,401919576800481
Kansas;Reno;453,5494221;172,6;39,95;5,263956311;15;1,3813099028216
Missouri;Benton;500,6;209,6;52,5;2,363989637;25,4;0,361109775918075
South Dakota;McPherson;284,8;97,3;52,3;15,3125;11,9;0,199625678986224
Texas;Freestone;410,4;180,2;41,6;2,553975777;15,2;2,84522636090244
Illinois;Kankakee;490,4;192,2;37,3;4,551301453;19,8;2,77424979813903
Virginia;Warren;428,2;202,5;40,25;5,544668588;11,7;1,61087135875884
Tennessee;Rhea;532,5;193,5;40,55;6,638495093;25,6;1,2493614994818
Virginia;New;454,3;201,4;43,2;2,628490965;8,7;2,58434475479203
New Hampshire;Merrimack;507,6;173,1;42,55;3,901815696;13,1;0,780043676200966
Nebraska;York;389,2;164,7;40,9;6,993486459;11,6;0,659120909382972
Arkansas;Grant;502,9;190,5;39,8;5,539429124;19,5;1,56855591090513
Georgia;Murray;453;204;37,35;3,893548721;21,1;0,650354704248315
North Carolina;Lincoln;460,5;165,7;41,9;4,703203954;18,6;1,857825982391
Oregon;Tillamook;432,2;165,1;47,8;5,352172982;21,9;0,208646525796271
Texas;Zapata;340,9;112,5;28,95;9,67556704;29,1;0,753886910104173
Minnesota;Sibley;453,5494221;181,7;41,4;5,58244595;15,8;0,336072716109235
Kentucky;Henderson;477,1;202,4;40,1;5,059607622;20,5;2,10636272781298
Iowa;Ida;548,4;159,8;45,45;9,293394777;15,7;0,439253515405484
Texas;Fayette;386,3;158,1;47,4;5,062486761;14,9;2,10799004527065
Michigan;St.;404,4;178,9;39,05;7,077326343;20,3;1,32563542730856
North Carolina;Hoke;424,7;191,8;31,45;7,366934285;22,5;3,55956264848452
Wisconsin;Polk;321,4;168,1;44,15;5,534351145;18,8;0,327765705970629
Missouri;Ste.;364,9;187,7;42,4;4,229447528;13,7;0,543848523940474
Massachusetts;Middlesex;473,1;159,6;38,5;4,75120604;13,9;1,77201064103468
Mississippi;Stone;506,8;214,2;37,25;6,422857143;23;3,00519343825025
Mississippi;Leflore;511,5;234,6;32,9;4,749478079;35,6;4,29291137188598
Washington;Walla;442,5;162,8;37,3;4,138710893;18,8;0,974256954193404
Virginia;Portsmouth;473,2;218,1;34,8;5,954956101;22;3,98218909325425
North Carolina;New;442,6;164;37,85;4,936553568;14,2;2,73207624752166
Missouri;Iron;529,5;216,3;43;3,896713615;24,9;1,2826224445314
Oregon;Crook;455,6;144,3;48;6,462075848;26;0,446661149784059
