Dpt;Règlements_compte;Homicides_vol;Homicides_autres;Tentatives_homicides_vol;Tentatives_homicides_autres;Coups_et_blessures_mort;Autres_coups_et_blessures;Prises_d_otages_vols;Prises_d_otages_autre;Sequestrations;Menaces_chantages_extorsion_fonds;Menaces_ou_chantages_autre;Atteintes_dignité;Violations_domicile;Vols_MA_EF;Vols_MA_etrp;Vols_MA_trsp_fonds;Vols_MA_particuliers_domicile;Autres_vols_MA;Vols_AB_financier_entrp_industriels;Vols_AB_particuliers_domicile;Autres_vols_AB;Vols_violents_SA_financiers_commerciaux_industriels;Vols_violents_SA_contre_des_particuliers_dom;Vols_violents_SA_femmes_VP;Vols_violents_SA_autres;Cambriolages_habitations_principales;Cambriolages_résidences_secondaires;Camb_locaux_industriels_commerciaux_financiers;Cambriolages_autres;Vols_entrée_rusée_tous_lieux;Vols_tire;Vols_étalage;Vols_de_véhicules_de_transport_avec_frêt;Vols_autos;Vols_2_roues_motorisés;Vols_roulotte;Vols_accessoires_véhicules_immat;Vols_chantier;Vols_exploit_agri;Autres_vols_simples;Autres_vols_simples_particuliers_locaux_privés;Autres_vols_simples_particuliers_publics;Recels;Proxénétisme;Viols_majeur_e_s;Viols_mineur_e_s;Harcèlements_agressions_sexuels_majeur_e_s;Harcèlements_agressions_sexuelles_mineur_e_s;Atteintes_sexuelles;Homicides_sur_moins_15;Violences__mauvais_traitements_et_abandons_d_enfants_;Délits_garde_mineurs;Non_versement_de_pension_alimentaire;Trafic_sans_usage_stup;Usage_revente_stup;Usage_stup;Autres_infractions_stup;infraction_règlementation_alcool_tabac;Fraudes_alimentaires_infractions_hygiène;Autres_délits_santé_publique_réglementation_prof_médi;Incendies_volontaires_public;Incendies_volontaires_privés;Attentats_à_l_explosif_publics;Attentats_à_l_explosif_privés;Autres_dégradations_publics;Autres_destructions_privés;Destructions_véhicules_privés;Infractions__conditions_entrée_séjour_étrangers;Aide_entrée_circulation_séjour_étrangers;Autres_infractions_étrangers;Outrages__autorité;Violences_autorité;armes_prohibées;Atteintes_aux_intérêts_fondamentaux_de_la_Nation;Délits_courses__jeux;Délits_interdiction_séjour__paraître;délits_envers_animaux;Atteintes_environnement;Chasse_pêche;Faux_doc_identité;Faux_documents_circulation_véhicules;faux_docs_administratifs;Faux_en_écriture_publique_et_authentique;Autres_faux_écriture;Fausse_monnaie;Contrefaçons_fraudes_industr_commerc;Contrefaçons_littéraires_artistique;chèques_volés;cartes_crédit;Escroqueries_abus_confiance;Infractions_chèques;Travail_clandestin;Emploi_d_étranger_sans_titre_travail;Marchandage;Banqueroutes__abus_de_biens_sociaux_et_autres_délits_de_société;Prix_illicittes__publicité_fausse_infractions_concurrence;Achats_ventes_sans_factures;Infractions_exercice_profession_règlementée;Infractions_droit_urbanisme_construction;Fraudes_fiscales;Autres_délits_éco_financiers;Autres_délits
1;0;0;1;0;2;0;410;0;0;6;22;148;73;6;0;0;0;0;0;0;0;0;0;2;27;37;235;13;118;142;13;132;175;0;64;45;224;107;9;1;89;383;320;114;3;14;14;17;17;16;0;78;25;18;10;43;482;1;1;0;0;68;112;0;0;59;268;159;8;79;4;74;89;45;0;0;2;2;1;0;83;36;12;1;10;8;0;0;135;80;356;1;51;50;2;1;2;1;0;1;1;2;189
10;0;0;2;0;4;0;726;0;0;6;29;318;173;35;0;1;0;0;0;0;2;6;0;2;75;111;400;35;119;149;34;271;442;1;99;92;453;136;21;0;119;549;630;65;0;17;24;30;29;28;0;163;85;29;11;56;348;0;3;0;0;4;69;0;0;54;304;118;0;0;0;60;61;94;0;0;5;8;0;0;5;2;8;2;15;2;6;1;232;148;733;7;12;5;0;0;2;0;0;1;0;2;323
11;0;0;3;0;4;0;607;0;0;13;40;247;95;27;1;2;0;1;5;2;1;6;5;6;64;76;669;43;131;95;17;397;202;0;205;130;832;141;29;1;220;509;717;54;0;18;17;13;15;17;0;95;34;21;2;44;376;0;2;3;0;26;88;0;0;97;208;147;5;40;12;68;70;82;3;0;3;4;4;0;101;6;8;2;7;11;2;0;107;151;402;11;119;2;0;7;1;0;1;5;0;4;216
12;0;0;0;0;2;0;254;0;0;3;14;128;41;22;0;1;0;1;0;1;0;2;1;0;16;20;190;21;81;44;8;77;96;0;40;56;209;90;14;1;51;169;406;18;0;6;7;14;22;9;0;41;27;13;7;31;294;1;0;0;0;32;25;0;1;45;82;64;1;1;0;42;32;96;3;0;1;2;3;0;10;1;2;2;5;2;9;0;47;35;262;14;6;0;0;0;1;0;3;3;0;4;118
13;18;0;31;5;86;5;8051;2;1;146;477;4408;1141;402;4;86;1;42;108;30;23;409;20;49;1813;2158;8082;301;1137;3133;227;4084;1604;4;5983;3534;10310;5288;410;22;1368;5999;15817;1530;20;247;180;292;320;266;0;1325;557;359;794;395;4704;9;377;2;11;192;808;2;5;581;2668;2337;53;86;188;792;1189;1636;5;1;30;60;24;7;161;83;117;13;252;60;124;11;2949;2479;6068;29;257;66;2;35;11;1;74;119;16;273;3972
14;0;1;2;1;7;1;1228;0;0;21;55;710;300;83;1;2;0;2;2;5;1;12;2;10;118;223;721;110;226;400;56;749;588;1;309;262;1147;347;47;2;358;1137;1288;165;1;49;39;64;85;62;0;250;66;19;25;123;973;4;0;0;3;41;185;4;0;174;904;865;4;40;15;209;162;217;4;0;2;21;3;9;56;22;13;2;187;10;11;7;331;294;1174;12;45;24;0;2;7;2;2;7;1;10;623
15;0;0;0;0;1;0;104;0;0;3;2;38;23;5;0;0;0;0;0;0;0;1;0;0;8;10;74;4;32;52;10;42;52;0;21;17;111;31;3;0;51;100;183;9;0;8;5;2;5;8;0;18;7;2;3;25;76;0;0;0;0;16;13;0;0;34;90;25;0;0;0;15;11;27;1;0;0;2;1;0;1;1;1;0;4;1;5;0;39;13;129;0;2;0;0;1;0;0;0;1;0;1;49
16;0;0;1;0;4;0;681;0;0;13;25;345;135;33;0;1;0;0;0;1;1;4;2;4;52;81;517;12;85;137;24;93;120;0;130;99;630;138;31;0;130;420;737;57;0;21;25;25;39;50;0;107;70;16;4;29;351;3;2;0;0;7;51;0;1;105;426;381;0;1;2;95;83;93;3;0;4;7;6;0;1;3;6;0;6;5;0;0;106;91;531;11;9;1;0;0;0;1;1;4;3;6;287
17;0;0;4;0;6;0;878;0;0;14;33;329;118;51;0;2;0;0;5;2;2;11;0;7;97;125;725;107;268;290;56;362;255;0;262;330;1070;411;49;0;367;1120;1617;191;0;42;24;43;55;54;0;109;64;24;23;76;903;1;4;0;1;14;74;1;0;195;703;842;1;0;2;89;106;174;1;0;0;15;3;1;3;6;6;1;32;5;12;0;422;185;666;6;15;1;0;3;1;0;2;6;1;8;330
18;0;0;0;0;6;1;492;0;0;10;34;188;113;18;0;2;0;3;2;0;2;3;1;7;36;75;547;32;170;230;21;162;178;0;170;93;391;178;23;1;113;405;380;37;2;16;15;22;25;18;0;88;36;12;2;18;157;2;0;0;1;26;98;1;0;116;421;174;5;0;3;50;47;84;0;0;0;8;2;1;4;8;6;1;21;2;1;0;87;84;558;2;8;0;0;4;0;0;1;0;1;4;219
