DOG_ID;EDUC_PROGRAM;WEEK;DAY;DATE;LIP_LICKING;YAWNING;SNIFFING;HEAD_MOVEMENT;SHAKING
ONYX;FOSTER_FAMILY;W1;MONDAY;D1;4;2;0;15;0
PACHA;FOSTER_FAMILY;W1;MONDAY;D1;30;0;4;30;3
PIXEL;FOSTER_FAMILY;W1;MONDAY;D1;26;10;3;18;0
ONE;FOSTER_FAMILY;W1;MONDAY;D1;23;2;0;14;1
OTOP;FOSTER_FAMILY;W1;MONDAY;D1;14;6;2;23;2
PEPER;FOSTER_FAMILY;W1;MONDAY;D1;16;0;7;41;0
PITA;FOSTER_FAMILY;W1;MONDAY;D1;1;0;1;14;0
OPIUM;FOSTER_FAMILY;W1;MONDAY;D1;9;4;2;12;1
PACMAN;FOSTER_FAMILY;W1;MONDAY;D1;5;0;0;18;0
ONYX;FOSTER_FAMILY;W1;FRIDAY;D2;11;1;1;23;0
PACHA;FOSTER_FAMILY;W1;FRIDAY;D2;37;5;4;31;3
PIXEL;FOSTER_FAMILY;W1;FRIDAY;D2;8;2;0;14;0
ONE;FOSTER_FAMILY;W1;FRIDAY;D2;3;0;2;13;2
OTOP;FOSTER_FAMILY;W1;FRIDAY;D2;13;4;3;7;0
PEPER;FOSTER_FAMILY;W1;FRIDAY;D2;13;3;0;28;0
PITA;FOSTER_FAMILY;W1;FRIDAY;D2;6;1;0;9;1
OPIUM;FOSTER_FAMILY;W1;FRIDAY;D2;8;2;1;19;0
PACMAN;FOSTER_FAMILY;W1;FRIDAY;D2;5;1;1;14;0
ONYX;FOSTER_FAMILY;W2;MONDAY;D3;10;0;2;33;2
PACHA;FOSTER_FAMILY;W2;MONDAY;D3;12;0;2;34;7
PIXEL;FOSTER_FAMILY;W2;MONDAY;D3;7;0;2;39;0
ONE;FOSTER_FAMILY;W2;MONDAY;D3;4;0;0;9;4
OTOP;FOSTER_FAMILY;W2;MONDAY;D3;4;1;3;14;0
PEPER;FOSTER_FAMILY;W2;MONDAY;D3;10;0;1;39;1
PITA;FOSTER_FAMILY;W2;MONDAY;D3;13;0;0;28;2
OPIUM;FOSTER_FAMILY;W2;MONDAY;D3;10;0;0;24;0
PACMAN;FOSTER_FAMILY;W2;MONDAY;D3;3;1;0;14;1
ONYX;FOSTER_FAMILY;W2;FRIDAY;D4;7;0;1;15;0
PACHA;FOSTER_FAMILY;W2;FRIDAY;D4;16;2;6;16;2
PIXEL;FOSTER_FAMILY;W2;FRIDAY;D4;4;1;1;22;0
ONE;FOSTER_FAMILY;W2;FRIDAY;D4;9;1;2;8;1
OTOP;FOSTER_FAMILY;W2;FRIDAY;D4;6;0;5;21;0
PEPER;FOSTER_FAMILY;W2;FRIDAY;D4;29;3;1;27;3
