"season";"episode";"part";"writter";"viewers";"rating";"Ndeath";"CaractDeath"
"S1";"S1E1";"Part1";"BenioffWeiss";2220000;9;7;"no"
"S1";"S1E2";"Part1";"BenioffWeiss";2200000;8,6;3;"no"
"S1";"S1E3";"Part1";"BenioffWeiss";2440000;8,5;0;"no"
"S1";"S1E4";"Part2";"Autre";2450000;8,6;1;"no"
"S1";"S1E5";"Part2";"BenioffWeiss";2580000;9;17;"no"
"S1";"S1E6";"Part2";"BenioffWeiss";2440000;9,1;5;"yes"
"S1";"S1E7";"Part2";"BenioffWeiss";2400000;9,1;5;"yes"
"S1";"S1E8";"Part3";"Autre";2720000;8,9;11;"no"
"S1";"S1E9";"Part3";"BenioffWeiss";2660000;9,6;6;"yes"
"S1";"S1E10";"Part3";"BenioffWeiss";3040000;9,4;3;"yes"
"S2";"S2E1";"Part1";"BenioffWeiss";3860000;8,7;7;"no"
"S2";"S2E2";"Part1";"BenioffWeiss";3760000;8,4;1;"no"
"S2";"S2E3";"Part1";"Autre";3770000;8,7;8;"no"
"S2";"S2E4";"Part2";"Autre";3650000;8,6;3;"no"
"S2";"S2E5";"Part2";"BenioffWeiss";3900000;8,6;4;"yes"
"S2";"S2E6";"Part2";"Autre";3880000;8,9;12;"no"
"S2";"S2E7";"Part2";"BenioffWeiss";3690000;8,8;15;"no"
"S2";"S2E8";"Part3";"BenioffWeiss";3860000;8,6;0;"no"
"S2";"S2E9";"Part3";"Autre";3380000;9,6;72;"no"
"S2";"S2E10";"Part3";"BenioffWeiss";4200000;9,3;8;"no"
"S3";"S3E1";"Part1";"BenioffWeiss";4370000;8,7;1;"no"
"S3";"S3E2";"Part1";"Autre";4270000;8,5;1;"no"
"S3";"S3E3";"Part1";"BenioffWeiss";4720000;8,7;4;"no"
"S3";"S3E4";"Part2";"BenioffWeiss";4870000;9,5;11;"no"
"S3";"S3E5";"Part2";"Autre";5350000;8,9;4;"no"
"S3";"S3E6";"Part2";"BenioffWeiss";5500000;8,7;7;"no"
"S3";"S3E7";"Part2";"Autre";4840000;8,6;0;"no"
"S3";"S3E8";"Part3";"BenioffWeiss";5130000;8,9;6;"no"
"S3";"S3E9";"Part3";"BenioffWeiss";5220000;9,9;45;"yes"
"S3";"S3E10";"Part3";"BenioffWeiss";5390000;9,1;7;"no"
"S4";"S4E1";"Part1";"BenioffWeiss";6640000;9;5;"no"
"S4";"S4E2";"Part1";"Autre";6310000;9,7;6;"yes"
"S4";"S4E3";"Part1";"BenioffWeiss";6590000;8,8;11;"no"
"S4";"S4E4";"Part2";"Autre";6950000;8,7;1;"no"
"S4";"S4E5";"Part2";"BenioffWeiss";7160000;8,6;16;"no"
"S4";"S4E6";"Part2";"Autre";6400000;9,7;7;"no"
"S4";"S4E7";"Part2";"BenioffWeiss";7200000;9;7;"no"
"S4";"S4E8";"Part3";"BenioffWeiss";7170000;9,7;12;"yes"
"S4";"S4E9";"Part3";"BenioffWeiss";6950000;9,6;86;"yes"
"S4";"S4E10";"Part3";"BenioffWeiss";7090000;9,6;19;"yes"
"S5";"S5E1";"Part1";"BenioffWeiss";8e+06;8,4;2;"no"
"S5";"S5E2";"Part1";"BenioffWeiss";6810000;8,4;8;"no"
"S5";"S5E3";"Part1";"BenioffWeiss";6710000;8,4;5;"no"
"S5";"S5E4";"Part2";"Autre";6820000;8,6;48;"no"
"S5";"S5E5";"Part2";"Autre";6560000;8,5;2;"no"
"S5";"S5E6";"Part2";"Autre";6240000;7,9;1;"no"
"S5";"S5E7";"Part2";"BenioffWeiss";5400000;8,9;2;"no"
"S5";"S5E8";"Part3";"BenioffWeiss";7010000;9,8;23;"no"
"S5";"S5E9";"Part3";"BenioffWeiss";7140000;9,4;58;"yes"
"S5";"S5E10";"Part3";"BenioffWeiss";8110000;9,1;9;"yes"
"S6";"S6E1";"Part1";"BenioffWeiss";7940000;8,4;8;"no"
"S6";"S6E2";"Part1";"Autre";7290000;9,3;7;"no"
"S6";"S6E3";"Part1";"BenioffWeiss";7280000;8,6;10;"no"
"S6";"S6E4";"Part2";"BenioffWeiss";7820000;9;18;"no"
"S6";"S6E5";"Part2";"BenioffWeiss";7890000;9,7;8;"yes"
"S6";"S6E6";"Part2";"Autre";6710000;8,3;0;"no"
"S6";"S6E7";"Part2";"Autre";7800000;8,5;1;"no"
"S6";"S6E8";"Part3";"BenioffWeiss";7600000;8,3;8;"no"
"S6";"S6E9";"Part3";"BenioffWeiss";7660000;9,9;133;"yes"
"S6";"S6E10";"Part3";"BenioffWeiss";8890000;9,9;203;"yes"
"S7";"S7E1";"Part1";"BenioffWeiss";10110000;8,5;54;"no"
"S7";"S7E2";"Part1";"Autre";9270000;8,8;29;"no"
"S7";"S7E3";"Part2";"BenioffWeiss";9250000;9,1;23;"yes"
"S7";"S7E4";"Part2";"BenioffWeiss";10170000;9,7;205;"no"
"S7";"S7E5";"Part2";"Autre";10720000;8,7;4;"no"
"S7";"S7E6";"Part3";"BenioffWeiss";10240000;9;9;"yes"
"S7";"S7E7";"Part3";"BenioffWeiss";12070000;9,4;10;"yes"
"S8";"S8E1";"Part1";"Autre";11760000;7,6;6;"no"
"S8";"S8E2";"Part1";"Autre";10290000;7,9;1;"no"
"S8";"S8E3";"Part2";"BenioffWeiss";12020000;7,5;35;"yes"
"S8";"S8E4";"Part2";"BenioffWeiss";11800000;5,5;5;"yes"
"S8";"S8E5";"Part3";"BenioffWeiss";12480000;6;844;"yes"
"S8";"S8E6";"Part3";"BenioffWeiss";13610000;4,1;1;"yes"
