Style;Per;Rock;Metal;Rap;RapUS;RapFR;Elect;ChansFR;Influ;Conf;SurC;SousC;Disp;Improb;Manq;Prof;Guerin;Genr;Cat;Age;Honnet;Avis
PopRock;70s;PinkFloyd;Metallica;US;Eminem;Orelsan;Boum;Banabar;MJackson;Joplin;ColdPlay;Beatles;Techno;Ziglibithy;Rage;BillyVoix;NoComment;Femme;3A;20-24;Oui;Boomers
Electro;90s;Queen;IronMaiden;US;Eminem;JoeySt;Coeur;Stromae;MJackson;Beyonce;Maneskin;PinkFloyd;ChantAmphi;Psychobilly;Profond;PayetDblKick;ConnaisPas;WTF;Autre;35-44;Oui;PasStat
PopRock;90s;Nirvana;Metallica;FR;Eminem;McSolar;Soiree;Saez;MJackson;Bowie;ColdPlay;TameImp;OperaRock;Trallpunk;Profond;PayetDblKick;Bouzin;Femme;PersISARA;35-44;Oui;HaHa
Indie;70s;RollingSt;BlackSab;US;Eminem;PNL;Soiree;Saez;Dylan;Bowie;Maneskin;Nirvana;RapVersail;Trallpunk;Notes;PayetDblKick;ConnaisPas;Femme;PersISARA;35-44;Oui;PasStat
Rap;90s;RollingSt;Metallica;US;Eminem;Booba;Coeur;Saez;MJackson;Beyonce;TameImp;DaftPunk;OperaRock;Austropop;Profond;BillyVoix;NoComment;Homme;3A;20-24;Oui;Boomers
PopRock;70s;PinkFloyd;Metallica;US;SnoopD;JoeySt;Soiree;Brassens;Hendrix;Madonna;ColdPlay;TameImp;OperaRock;Austropop;Notes;TolonAccord;ConnaisPas;Homme;Autre;45-54;Oui;HaHa
PopRock;90s;Queen;Metallica;US;Eminem;McSolar;Oreilles;Brassens;Hendrix;Cobain;TameImp;Beatles;Techno;Chiptune;Folie;TolonAccord;NoComment;Homme;Autre;35-44;Oui;Nimp
PopRock;90s;RollingSt;Metallica;US;Eminem;McSolar;Coeur;Saez;Hendrix;Bowie;ColdPlay;Maneskin;Kpop ;Psychobilly;Notes;TolonAccord;NoComment;Femme;Autre;35-44;Oui;Offens
JazzSoul;80s;Queen;Metallica;FR;DrDre ;McSolar;Boum;Saez;Dylan;Beyonce;ColdPlay;Queen;Techno;Chiptune;Folie;TolonAccord;ConnaisPas;Homme;Autre;35-44;Oui;Boomers
PopRock;90s;ACDC;BlackSab;US;Eminem;Orelsan;Coeur;Dassin;Dylan;Hendrix;Nirvana;ColdPlay;ChantAmphi;Folktronica;Profond;TolonAccord;Bouzin;Homme;Autre;30-34;Oui;PasStat
