id;coulface;coulpile;coultache;resistance;elast;humid;cuisson
128;6;1;7;6;3;4;1
128;2;2;6;3;2;2;1
128;5;2;7;4;5;4;1
128;4;1;7;5;4;6;1
128;3;2;4;5;5;4;1
128;4;1;7;5;6;7;1
128;1;1;6;2;6;4;1
128;3;2;6;4;4;4;1
128;2;1;7;3;2;4;1
753;7;1;7;6;4;4;2
753;3;1;5;4;3;3;2
753;3;2;5;5;4;3;2
753;1;2;4;3;5;5;2
753;1;1;2;5;5;6;2
753;2;1;4;3;5;7;2
753;5;1;5;2;3;5;2
753;7;1;7;2;4;2;2
753;4;1;7;3;2;4;2
842;1;1;3;5;5;6;3
842;1;1;6;2;4;4;3
842;1;1;1;6;5;3;3
842;3;2;4;3;6;6;3
842;4;2;3;6;5;3;3
842;4;1;6;4;5;6;3
842;4;1;5;2;3;4;3
842;4;3;5;4;4;4;3
842;1;1;3;2;1;4;3
